reading_id,farm_id,sensor_type,reading_value,reading_ts
READ_00001,FARM_017,SoilMoisture,11.28,11/09/2023 03:03
READ_00002,FARM_009,SoilMoisture,47.51,05/06/2023 02:38
READ_00003,FARM_017,SoilMoisture,26,04/05/2023 12:15
READ_00004,FARM_015,SoilMoisture,31.32,20/05/2023 14:46
READ_00005,FARM_010,Temperature,46.33,08/07/2023 22:11
READ_00006,FARM_001,Temperature,18.82,22/05/2023 06:00
READ_00007,FARM_006,SoilMoisture,16.18,06/10/2023 12:05
READ_00008,FARM_001,SoilMoisture,68.48,22/01/2023 01:11
READ_00009,FARM_020,Temperature,10.86,19/08/2023 17:29
READ_00010,FARM_018,Temperature,48.15,24/05/2023 17:17
READ_00011,FARM_004,SoilMoisture,38.95,07/09/2023 12:17
READ_00012,FARM_012,Temperature,42.78,23/07/2023 05:09
READ_00013,FARM_003,SoilMoisture,57.93,04/03/2023 15:32
READ_00014,FARM_009,SoilMoisture,54.1,01/07/2023 19:25
READ_00015,FARM_002,Temperature,73.93,27/01/2023 15:40
READ_00016,FARM_007,Temperature,41.01,08/03/2023 13:24
READ_00017,FARM_017,Temperature,22.45,10/07/2023 10:21
READ_00018,FARM_003,SoilMoisture,39.77,19/09/2023 05:18
READ_00019,FARM_002,SoilMoisture,59.69,25/09/2023 06:12
READ_00020,FARM_020,Temperature,55.8,02/04/2023 00:46
READ_00021,FARM_018,SoilMoisture,12.88,03/03/2023 18:50
READ_00022,FARM_004,Temperature,35.98,28/10/2023 09:57
READ_00023,FARM_008,Temperature,9.94,21/02/2023 10:17
READ_00024,FARM_001,Temperature,38.38,17/10/2023 10:56
READ_00025,FARM_007,Temperature,65.37,26/04/2023 02:58
READ_00026,FARM_018,Temperature,7.39,04/07/2023 05:04
READ_00027,FARM_005,Temperature,33.3,05/09/2023 13:55
READ_00028,FARM_017,Temperature,40.69,17/04/2023 11:03
READ_00029,FARM_011,Temperature,29.55,01/04/2023 13:02
READ_00030,FARM_019,Temperature,43.85,12/04/2023 17:42
READ_00031,FARM_010,SoilMoisture,31.11,11/02/2023 21:08
READ_00032,FARM_009,Temperature,10.4,27/02/2023 14:35
READ_00033,FARM_001,Temperature,12.72,28/02/2023 09:04
READ_00034,FARM_002,SoilMoisture,58.66,02/01/2023 08:43
READ_00035,FARM_011,SoilMoisture,65.37,28/09/2023 04:14
READ_00036,FARM_008,Temperature,73.78,09/09/2023 09:36
READ_00037,FARM_007,Temperature,75.4,14/09/2023 16:31
READ_00038,FARM_014,Temperature,67.48,02/03/2023 01:18
READ_00039,FARM_016,SoilMoisture,52.57,10/04/2023 07:34
READ_00040,FARM_008,Temperature,75.99,18/06/2023 19:57
READ_00041,FARM_008,SoilMoisture,17.19,30/04/2023 23:34
READ_00042,FARM_004,SoilMoisture,37.36,08/02/2023 15:45
READ_00043,FARM_003,SoilMoisture,59.14,09/10/2023 11:43
READ_00044,FARM_016,SoilMoisture,64.76,04/06/2023 10:28
READ_00045,FARM_003,SoilM,26.4000001,31/01/2023 00:07
READ_00046,FARM_004,SoilMoisture,61.66,29/05/2023 02:36
READ_00047,FARM_016,SoilMoisture,30.93,17/09/2023 11:24
READ_00048,FARM_005,Temperature,79.89,16/04/2023 08:51
READ_00049,FARM_017,SoilMoisture,9.32,26/05/2023 06:50
READ_00050,FARM_006,SoilMoisture,61.68,29/09/2023 11:38
READ_00051,FARM_011,Temperature,24.77,06/04/2023 16:32
READ_00052,FARM_012,SoilMoisture,63.16,19/02/2023 00:08
READ_00053,FARM_016,SoilMoisture,76.4,17/05/2023 23:15
READ_00054,FARM_003,Temperature,75.79,28/10/2023 19:01
READ_00055,FARM_007,SoilMoisture,69.22,20/01/2023 19:45
READ_00056,FARM_006,SoilMoisture,37.43,14/02/2023 03:31
READ_00057,FARM_011,Temperature,52.14,25/04/2023 03:24
READ_00058,FARM_007,Temperature,60.23,11/04/2023 10:29
READ_00059,FARM_008,SoilMoisture,58.03,03/10/2023 01:38
READ_00060,FARM_011,Temperature,66.18,30/07/2023 22:31
READ_00061,FARM_003,Temperature,17.86,23/04/2023 01:07
READ_00062,FARM_015,Temperature,11.33,31/03/2023 22:59
READ_00063,FARM_011,SoilMoisture,51.45,29/05/2023 14:49
READ_00064,FARM_002,Temperature,71.4,27/07/2023 03:42
READ_00065,FARM_014,SoilMoisture,77.63,25/08/2023 23:47
READ_00066,FARM_014,Temperature,62.38,08/10/2023 16:05
READ_00067,FARM_009,SoilMoisture,31.79,14/01/2023 06:58
READ_00068,FARM_016,Temperature,8.69,06/09/2023 06:04
READ_00069,FARM_014,SoilMoisture,19.61,23/07/2023 13:20
READ_00070,FARM_013,Temperature,39.43,09/05/2023 10:40
READ_00071,FARM_003,SoilMoisture,59.62,16/09/2023 13:06
READ_00072,FARM_020,SoilMoisture,78.21,08/03/2023 16:15
READ_00073,FARM_018,Temperature,40.37,17/07/2023 18:31
READ_00074,FARM_001,Temperature,28.29,09/03/2023 22:06
READ_00075,FARM_005,SoilMoisture,28.68,26/01/2023 00:23
READ_00076,FARM_017,Temperature,14.27,07/01/2023 15:30
READ_00077,FARM_015,SoilMoisture,64.46,26/03/2023 12:36
READ_00078,FARM_009,SoilMoisture,61.57,24/03/2023 02:46
READ_00079,FARM_003,SoilMoisture,74.88,03/09/2023 19:41
READ_00080,FARM_015,Temperature,46.6,05/04/2023 18:09
READ_00081,FARM_013,SoilMoisture,43.28,20/03/2023 14:11
READ_00082,FARM_015,SoilMoisture,60.36,30/04/2023 23:49
READ_00083,FARM_017,Temperature,45.49,25/02/2023 02:36
READ_00084,FARM_005,Temperature,6.78,16/08/2023 10:45
READ_00085,FARM_015,Temperature,74.43,28/01/2023 05:29
READ_00086,FARM_012,SoilMoisture,56.81,11/05/2023 03:10
READ_00087,FARM_010,SoilMoisture,26.12,18/09/2023 20:14
READ_00088,FARM_009,Temperature,78.37,09/10/2023 04:42
READ_00089,FARM_009,Temperature,23.06,04/04/2023 05:15
READ_00090,FARM_006,Temperature,34.68,12/01/2023 23:02
READ_00091,FARM_004,SoilMoisture,15.43,26/01/2023 03:03
READ_00092,FARM_003,Temperature,49.32,25/02/2023 07:42
READ_00093,FARM_001,SoilMoisture,79.8,27/05/2023 02:39
READ_00094,FARM_008,SoilMoisture,59.41,18/09/2023 03:26
READ_00095,FARM_008,Temperature,47.01,07/04/2023 03:51
READ_00096,FARM_011,SoilMoisture,8.11,28/06/2023 03:04
READ_00097,FARM_014,SoilMoisture,6.35,01/07/2023 17:42
READ_00098,FARM_005,SoilMoisture,44.97,23/06/2023 13:29
READ_00099,FARM_018,Temperature,32.71,27/03/2023 16:01
READ_00100,FARM_007,Temperature,78.45,23/10/2023 10:16
READ_00101,FARM_012,SoilMoisture,45.61,19/03/2023 14:17
READ_00102,FARM_007,Temperature,46.14,15/06/2023 06:19
READ_00103,FARM_006,Temperature,78.4,25/03/2023 00:09
READ_00104,FARM_014,SoilMoisture,66.97,22/07/2023 21:46
READ_00105,FARM_019,Temperature,60.78,29/05/2023 21:56
READ_00106,FARM_016,Temperature,16.95,30/01/2023 13:24
READ_00107,FARM_010,Temperature,75.06,03/09/2023 17:41
READ_00108,FARM_014,SoilMoisture,65.03,24/04/2023 22:29
READ_00109,FARM_006,SoilMoisture,46.11,19/03/2023 13:27
READ_00110,FARM_020,SoilMoisture,25.94,16/03/2023 12:17
READ_00111,FARM_013,SoilMoisture,72.94,05/02/2023 20:04
READ_00112,FARM_020,Temperature,64.75,29/06/2023 21:05
READ_00113,FARM_010,SoilMoisture,51.38,09/05/2023 11:52
READ_00114,FARM_012,SoilMoisture,25.03,02/04/2023 00:38
READ_00115,FARM_008,SoilMoisture,18.28,02/07/2023 08:01
READ_00116,FARM_005,SoilMoisture,8.71,15/02/2023 23:09
READ_00117,FARM_016,Temperature,42.89,29/08/2023 20:27
READ_00118,FARM_008,SoilMoisture,70.09,23/10/2023 15:40
READ_00119,FARM_019,SoilMoisture,65.19,21/10/2023 13:14
READ_00120,FARM_020,Temperature,60.16,20/09/2023 05:41
READ_00121,FARM_007,Temperature,9.24,23/04/2023 23:00
READ_00122,FARM_019,SoilMoisture,30.82,27/03/2023 16:45
READ_00123,FARM_017,Temperature,36.08,20/05/2023 09:20
READ_00124,FARM_003,SoilMoisture,45.78,26/07/2023 17:35
READ_00125,FARM_019,Temperature,61.7,01/05/2023 10:42
READ_00126,FARM_014,SoilMoisture,45.05,09/04/2023 02:18
READ_00127,FARM_017,Temperature,8.31,22/03/2023 22:50
READ_00128,FARM_007,SoilMoisture,37.19,13/04/2023 07:36
READ_00129,FARM_010,Temperature,79.77,04/04/2023 12:00
READ_00130,FARM_020,Temperature,78.01,06/03/2023 14:31
READ_00131,FARM_005,SoilMoisture,35.66,28/01/2023 20:09
READ_00132,FARM_011,Temperature,23.12,25/03/2023 19:54
READ_00133,FARM_012,Temperature,36.24,28/10/2023 07:16
READ_00134,FARM_010,Temperature,7.63,02/04/2023 19:55
READ_00135,FARM_001,SoilMoisture,69.57,07/06/2023 10:06
READ_00136,FARM_015,Temperature,30.46,18/02/2023 22:32
READ_00137,FARM_020,SoilMoisture,20.6,05/06/2023 00:41
READ_00138,FARM_009,Temperature,72.7,25/07/2023 00:06
READ_00139,FARM_002,Temperature,35.41,02/01/2023 23:16
READ_00140,FARM_007,Temperature,60.3,18/01/2023 14:12
READ_00141,FARM_002,Temperature,54.31,22/09/2023 10:05
READ_00142,FARM_016,SoilMoisture,54.4,10/05/2023 19:22
READ_00143,FARM_015,Temperature,66.1,13/01/2023 09:44
READ_00144,FARM_001,Temperature,5.5,30/05/2023 18:08
READ_00145,FARM_013,SoilMoisture,49.72,18/02/2023 10:52
READ_00146,FARM_020,SoilMoisture,63.21,12/09/2023 09:12
READ_00147,FARM_014,SoilMoisture,68.7,27/05/2023 07:13
READ_00148,FARM_006,Temperature,24.02,26/02/2023 01:39
READ_00149,FARM_017,SoilMoisture,20.33,27/02/2023 09:17
READ_00150,FARM_004,SoilMoisture,9.89,28/08/2023 01:03
READ_00151,FARM_010,SoilMoisture,38.95,01/03/2023 03:48
READ_00152,FARM_004,SoilMoisture,76.04,29/08/2023 18:05
