farm_id,date,sensor_type,region,crop_type,reading_value_mean,reading_value_min,reading_value_max,reading_value_std,reading_value_count
FARM_001,2023-01-09,SoilMoisture,Aberdeenshire,Wheat,73.42,73.42,73.42,,1
FARM_001,2023-01-10,SoilMoisture,Aberdeenshire,Wheat,74.02,74.02,74.02,,1
FARM_001,2023-01-22,SoilMoisture,Aberdeenshire,Wheat,68.48,68.48,68.48,,1
FARM_001,2023-01-29,SoilMoisture,Aberdeenshire,Wheat,73.11,73.11,73.11,,1
FARM_001,2023-02-02,SoilMoisture,Aberdeenshire,Wheat,52.71,52.71,52.71,,1
FARM_001,2023-02-03,SoilMoisture,Aberdeenshire,Wheat,66.66,66.66,66.66,,1
FARM_001,2023-02-06,SoilMoisture,Aberdeenshire,Wheat,60.7,60.7,60.7,,1
FARM_001,2023-02-14,SoilMoisture,Aberdeenshire,Wheat,68.77,68.77,68.77,,1
FARM_001,2023-02-16,SoilMoisture,Aberdeenshire,Wheat,76.08,76.08,76.08,,1
FARM_001,2023-02-21,SoilMoisture,Aberdeenshire,Wheat,11.44,11.44,11.44,,1
FARM_001,2023-03-03,SoilMoisture,Aberdeenshire,Wheat,36.02,36.02,36.02,,1
FARM_001,2023-03-09,SoilMoisture,Aberdeenshire,Wheat,43.12,35.79,50.45,10.37,2
FARM_001,2023-03-15,SoilMoisture,Aberdeenshire,Wheat,11.4,11.4,11.4,,1
FARM_001,2023-03-18,SoilMoisture,Aberdeenshire,Wheat,10.07,10.07,10.07,,1
FARM_001,2023-03-19,SoilMoisture,Aberdeenshire,Wheat,58.48,58.48,58.48,,1
FARM_001,2023-04-02,SoilMoisture,Aberdeenshire,Wheat,13.6,13.6,13.6,,1
FARM_001,2023-04-15,SoilMoisture,Aberdeenshire,Wheat,33.53,33.53,33.53,,1
FARM_001,2023-04-22,SoilMoisture,Aberdeenshire,Wheat,46.51,46.51,46.51,,1
FARM_001,2023-04-25,SoilMoisture,Aberdeenshire,Wheat,40.42,40.42,40.42,,1
FARM_001,2023-04-28,SoilMoisture,Aberdeenshire,Wheat,51.31,51.31,51.31,,1
FARM_001,2023-05-09,SoilMoisture,Aberdeenshire,Wheat,7.56,7.56,7.56,,1
FARM_001,2023-05-18,SoilMoisture,Aberdeenshire,Wheat,45.88,45.88,45.88,,1
FARM_001,2023-05-21,SoilMoisture,Aberdeenshire,Wheat,62.12,62.12,62.12,,1
FARM_001,2023-05-27,SoilMoisture,Aberdeenshire,Wheat,79.8,79.8,79.8,,1
FARM_001,2023-05-30,SoilMoisture,Aberdeenshire,Wheat,42.83,42.83,42.83,,1
FARM_001,2023-06-01,SoilMoisture,Aberdeenshire,Wheat,46.95,46.95,46.95,,1
FARM_001,2023-06-04,SoilMoisture,Aberdeenshire,Wheat,20.21,20.21,20.21,,1
FARM_001,2023-06-07,SoilMoisture,Aberdeenshire,Wheat,69.57,69.57,69.57,,1
FARM_001,2023-06-11,SoilMoisture,Aberdeenshire,Wheat,67.0,67.0,67.0,,1
FARM_001,2023-06-16,SoilMoisture,Aberdeenshire,Wheat,74.1,74.1,74.1,,1
FARM_001,2023-06-20,SoilMoisture,Aberdeenshire,Wheat,63.73,63.73,63.73,,1
